Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year
ecoinvent 3.4 cutoff to edit,18cb343a999c4841b2e9b8912898e376,alumina production,VE,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,2.373874070078527e-07,2000
ecoinvent 3.4 cutoff to edit,18cb343a999c4841b2e9b8912898e376,alumina production,VE,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.0033956425261495297,2000
ecoinvent 3.4 cutoff to edit,18cb343a999c4841b2e9b8912898e376,alumina production,VE,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.008050044916858968,2000
ecoinvent 3.4 cutoff to edit,ca617c19d83740e386bc2d39d898b120,alumina production,TR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,2.3894470783598933,2000
ecoinvent 3.4 cutoff to edit,ca617c19d83740e386bc2d39d898b120,alumina production,TR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0008709677028415099,2000
ecoinvent 3.4 cutoff to edit,ca617c19d83740e386bc2d39d898b120,alumina production,TR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00032911103967803054,2000
ecoinvent 3.4 cutoff to edit,ca617c19d83740e386bc2d39d898b120,alumina production,TR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.9312812813040686e-07,2000
ecoinvent 3.4 cutoff to edit,ca617c19d83740e386bc2d39d898b120,alumina production,TR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.006253640700163052,2000
ecoinvent 3.4 cutoff to edit,ca617c19d83740e386bc2d39d898b120,alumina production,TR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.014688399246707064,2000
ecoinvent 3.4 cutoff to edit,f30ba702dfcc4475bab8a0e3ac2900b3,alumina production,AZ,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,2.3893979107712684,2000
ecoinvent 3.4 cutoff to edit,f30ba702dfcc4475bab8a0e3ac2900b3,alumina production,AZ,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.000871001105291818,2000
ecoinvent 3.4 cutoff to edit,f30ba702dfcc4475bab8a0e3ac2900b3,alumina production,AZ,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0003291131246836783,2000
ecoinvent 3.4 cutoff to edit,f30ba702dfcc4475bab8a0e3ac2900b3,alumina production,AZ,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.9313209184647475e-07,2000
ecoinvent 3.4 cutoff to edit,f30ba702dfcc4475bab8a0e3ac2900b3,alumina production,AZ,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.006253454820426595,2000
ecoinvent 3.4 cutoff to edit,f30ba702dfcc4475bab8a0e3ac2900b3,alumina production,AZ,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.01468811984201128,2000
ecoinvent 3.4 cutoff to edit,a82923aa4acc4fdeb64ddcc0b132c0ca,alumina production,BA,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.6237367549788342,2000
ecoinvent 3.4 cutoff to edit,a82923aa4acc4fdeb64ddcc0b132c0ca,alumina production,BA,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0005641977783067986,2000
ecoinvent 3.4 cutoff to edit,a82923aa4acc4fdeb64ddcc0b132c0ca,alumina production,BA,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00020178669383714385,2000
ecoinvent 3.4 cutoff to edit,a82923aa4acc4fdeb64ddcc0b132c0ca,alumina production,BA,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,2.6813154899849796e-07,2000
ecoinvent 3.4 cutoff to edit,a82923aa4acc4fdeb64ddcc0b132c0ca,alumina production,BA,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.00415067909372885,2000
ecoinvent 3.4 cutoff to edit,a82923aa4acc4fdeb64ddcc0b132c0ca,alumina production,BA,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.009553983410091428,2000
ecoinvent 3.4 cutoff to edit,583f30e6c2e443999982ec64e9d1ecf5,alumina production,HU,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.6237395883956927,2000
ecoinvent 3.4 cutoff to edit,583f30e6c2e443999982ec64e9d1ecf5,alumina production,HU,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.000564195892719601,2000
ecoinvent 3.4 cutoff to edit,583f30e6c2e443999982ec64e9d1ecf5,alumina production,HU,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0002017865802426664,2000
ecoinvent 3.4 cutoff to edit,583f30e6c2e443999982ec64e9d1ecf5,alumina production,HU,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,2.6813132243645764e-07,2000
ecoinvent 3.4 cutoff to edit,583f30e6c2e443999982ec64e9d1ecf5,alumina production,HU,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.00415068974630378,2000
ecoinvent 3.4 cutoff to edit,583f30e6c2e443999982ec64e9d1ecf5,alumina production,HU,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.009553999401902592,2000
ecoinvent 3.4 cutoff to edit,75f2f5e7bb4a4cef83f44273fffb10ad,alumina production,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,2.3894001117180483,2000
ecoinvent 3.4 cutoff to edit,75f2f5e7bb4a4cef83f44273fffb10ad,alumina production,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.000870999609413665,2000
ecoinvent 3.4 cutoff to edit,75f2f5e7bb4a4cef83f44273fffb10ad,alumina production,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00032911303141341724,2000
ecoinvent 3.4 cutoff to edit,75f2f5e7bb4a4cef83f44273fffb10ad,alumina production,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.931319144232396e-07,2000
ecoinvent 3.4 cutoff to edit,75f2f5e7bb4a4cef83f44273fffb10ad,alumina production,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.006253463145868403,2000
ecoinvent 3.4 cutoff to edit,75f2f5e7bb4a4cef83f44273fffb10ad,alumina production,ID,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.01468813235396354,2000
ecoinvent 3.4 cutoff to edit,d5566603accf4fee8ba623617b390798,alumina production,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.6237429743900795,2000
ecoinvent 3.4 cutoff to edit,d5566603accf4fee8ba623617b390798,alumina production,RU,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0005641935542851803,2000
