Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year,Type
ecoinvent 3.4 cutoff to edit,23bd04ecabc5495ba04e4b0005e36b49,"aluminium production, primary, ingot",ES,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,9.550140486443323e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,23bd04ecabc5495ba04e4b0005e36b49,"aluminium production, primary, ingot",ES,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.026277713886988824,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,23bd04ecabc5495ba04e4b0005e36b49,"aluminium production, primary, ingot",ES,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.05595099905158275,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,6eb6af417cdf4ed1b75ae2ac19e80cb0,"aluminium production, primary, ingot",BH,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,15.89996802597369,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,6eb6af417cdf4ed1b75ae2ac19e80cb0,"aluminium production, primary, ingot",BH,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0016446612531962254,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,6eb6af417cdf4ed1b75ae2ac19e80cb0,"aluminium production, primary, ingot",BH,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0013826413721480134,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,6eb6af417cdf4ed1b75ae2ac19e80cb0,"aluminium production, primary, ingot",BH,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,9.219950411516778e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,6eb6af417cdf4ed1b75ae2ac19e80cb0,"aluminium production, primary, ingot",BH,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.02656937131725709,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,6eb6af417cdf4ed1b75ae2ac19e80cb0,"aluminium production, primary, ingot",BH,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.04477433271564437,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,c318ef5843cc4cfaa265bdb87e3c0144,"aluminium production, primary, ingot",BA,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,13.75476625972846,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,c318ef5843cc4cfaa265bdb87e3c0144,"aluminium production, primary, ingot",BA,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.009734264860455314,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,c318ef5843cc4cfaa265bdb87e3c0144,"aluminium production, primary, ingot",BA,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.003615599746770528,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,c318ef5843cc4cfaa265bdb87e3c0144,"aluminium production, primary, ingot",BA,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.003464473405013e-06,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,c318ef5843cc4cfaa265bdb87e3c0144,"aluminium production, primary, ingot",BA,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.037841536503327666,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,c318ef5843cc4cfaa265bdb87e3c0144,"aluminium production, primary, ingot",BA,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.08812602222570082,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9f7c96619515415dad8c30bd9d67390e,"aluminium production, primary, ingot",ID,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,26.620915936273683,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9f7c96619515415dad8c30bd9d67390e,"aluminium production, primary, ingot",ID,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.014198796938845792,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9f7c96619515415dad8c30bd9d67390e,"aluminium production, primary, ingot",ID,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005397231509965972,2000,globalized_for_alumina
